Content Manifest for Depot 368342

Manifest ID            : 3415141267218018733
Creation time          : 2017-05-16 13:41:42+00:00
Total number of files  : 2889
Total bytes on disk    : 450480025
Total bytes compressed : 219461440

          Size Hash                                     Flags Name
-------------- ---------------------------------------- ----- ----------------------------------------------------------------------------------
        882876 85b93759e3dbc76a7a0119b49e58b6601d5ac7aa     0 CrossCode
             0 0000000000000000000000000000000000000000    64 assets
             0 0000000000000000000000000000000000000000    64 assets/data
             0 0000000000000000000000000000000000000000    64 assets/data/animations
             0 0000000000000000000000000000000000000000    64 assets/data/animations/boss
        110459 f5029da097b9f77ba13cd8192c3a87a01a2dc5ab     0 assets/data/animations/boss/antlion.json
        279620 f68a7393ef6c90f19994067bc4535ecf7ae50638     0 assets/data/animations/boss/cargo-crab-extra.json
        330050 72af12974b4f7263e3c8d1ada39e9c03489d24d7     0 assets/data/animations/boss/cargo-crab.json
        201848 fe6c7db2ef7a292cf5798d55bffd6b3c93880959     0 assets/data/animations/boss/driller.json
           284 291e8ac165b8471cdd2caad109fbd315392d54d3     0 assets/data/animations/boss/greenlight.json
        235823 ec55f704c0c6da2a97f3d0702f23e430fb8485ea     0 assets/data/animations/boss/megamoth.json
          2803 ff7fe7cfdb8b380a5fcc58735bab0addfad69bda     0 assets/data/animations/boss/slope-test.json
         16169 3717e7ebb95a9bbb4329f3ac40a121f296fceed2     0 assets/data/animations/boss/test-saved.json
          1494 bfab25994016e2d5d45a8a8e0792cda24b8df44e     0 assets/data/animations/boss/test.json
        176886 e65da8ba612aabef7139dd8f53548d6412eaa3fa     0 assets/data/animations/boss/whale.json
             0 0000000000000000000000000000000000000000    64 assets/data/animations/enemies
           369 3221ac03f9f2b565e72001cf69453ceda24d2b4b     0 assets/data/animations/enemies/baggy-kun.json
          1164 9ebc3c3e53349054a567c6ca9d9f35205f3c82a0     0 assets/data/animations/enemies/buffalo-alt.json
          1166 5161da19ff2c8f3eb4e1b52426510d80cd388e29     0 assets/data/animations/enemies/buffalo-fall.json
          1156 56a30156b9c3b12968c1719e62b193dc3a884981     0 assets/data/animations/enemies/buffalo.json
          1240 64981f3e3604839d54928615b6707a2dcb7ffe95     0 assets/data/animations/enemies/darth-moth.json
           626 064be171b025feb166fce6c0b9671cd35390b38a     0 assets/data/animations/enemies/default-bot.json
          1373 d2a88dd15d7ef9115da1479f46147fd6f0fcc546     0 assets/data/animations/enemies/drillertoise.json
           905 803353ced691fb66f71f434e6d042c8b0b9f9ba5     0 assets/data/animations/enemies/frobbit-miniboss-femme.json
           909 e331f233eb53ce8620a289ad9e1803ce3fbc95ff     0 assets/data/animations/enemies/frobbit-miniboss-gallant.json
           875 d5f886dd16c1b64a03bf995c92362ceef3cbc234     0 assets/data/animations/enemies/frobbit.json
          1401 b176572e4c6a73f97759f46112a9e3f4fd70c2b0     0 assets/data/animations/enemies/goat-cave.json
          1407 cd03c92100c733e698a87857b8dc70ea836bc4da     0 assets/data/animations/enemies/goat-father.json
          1386 5189030711c1b77f241b550113fd4f2b7948aed5     0 assets/data/animations/enemies/goat.json
           663 47e628a108b4663a537a15ce48fe9283dea12959     0 assets/data/animations/enemies/gray-frobbit.json
          1208 412182b1a2a8b6624bd7d83e512d55f598f34d60     0 assets/data/animations/enemies/guard-mustache.json
          1190 1a05e09f5f3277493c6e1bd9ae7b2bc176d06f34     0 assets/data/animations/enemies/guards.json
           649 30eae50046f56f27adee9e1b06e2d47c71859e52     0 assets/data/animations/enemies/heat-command_bot.json
          1309 05c687bdd69e388509d2a1f87de85c40c1326932     0 assets/data/animations/enemies/heat-friendly_kamikatze.json
          1963 60c76d7f643b5d216262534eaca403c4b5292c11     0 assets/data/animations/enemies/heat-golem.json
           678 f144474e8fdb0da462a074c764e359b72550ecee     0 assets/data/animations/enemies/hedgehog-alt.json
           749 ba4e7f41d070551977a60d34edfe20c5fc191931     0 assets/data/animations/enemies/hedgehog-boss.json
           680 ef1720749021395ad84119d0d2d15dfa04b3ffc5     0 assets/data/animations/enemies/hedgehog-fall.json
           670 805822d2d7a9427ad0c3f9ca4c472ffa436d8dca     0 assets/data/animations/enemies/hedgehog.json
           524 ac0420b423098a8081925aa9b33b60d2ecbf0d6b     0 assets/data/animations/enemies/jellyfish.json
          4937 7364505703db3689d893228a61bb97f560716fb2     0 assets/data/animations/enemies/jungle-ape.json
          1450 1c87fc550ea1b04994942349025dcb25f990304d     0 assets/data/animations/enemies/jungle-blob-wave.json
          1440 92dd95a346548a668cbd101b1fe46fd1e1c2373e     0 assets/data/animations/enemies/jungle-blob.json
          1417 7f3b7f76c2a6b1ff552dafe27d317c6046abf0ae     0 assets/data/animations/enemies/jungle-blueray.json
          1771 a92d7b8d7ed5203e7454398cfcd26821bcfb5eb6     0 assets/data/animations/enemies/jungle-chicken.json
          1064 8593f4c6e9221b853eaba4a6e6c184f055871acf     0 assets/data/animations/enemies/jungle-fish.json
          2057 6881387e84aaff6749009aefa25004a3b00d7e61     0 assets/data/animations/enemies/jungle-ghost.json
           806 7fac038525bb4c4168a4493cea35b01ea2fbfa50     0 assets/data/animations/enemies/jungle-heatbug.json
          1915 dca55fc0bbdb47e1b0c45180c197e8cfe0bee194     0 assets/data/animations/enemies/jungle-octopus.json
           917 cf4c3d06c740c7f372443b0b18dd1c15ee21e96b     0 assets/data/animations/enemies/jungle-parrot.json
           719 baff715035c8c735e25becde4981f9c78888e368     0 assets/data/animations/enemies/jungle-plant.json
          2125 ba70024299b1cdabf90c5cabf234f9d32642fe6d     0 assets/data/animations/enemies/jungle-powerplant.json
          1660 bfd1d1e0d003efdb5e4b78d9f9861225b18a6250     0 assets/data/animations/enemies/jungle-shockboss.json
          1508 94aaac4bc0a7bcc7718a843310c4b048972f238c     0 assets/data/animations/enemies/jungle-shockcat-black.json
