Content Manifest for Depot 368343

Manifest ID            : 5810635766134051842
Creation time          : 2017-12-14 17:45:26+00:00
Seen by SteamDB at     : 2017-12-14 18:43:52+00:00
Total number of files  : 3370
Total bytes on disk    : 688099129
Total bytes compressed : 299982912

          Size Hash                                     Flags Name
-------------- ---------------------------------------- ----- ----------------------------------------------------------------------------------
        842920 5ed431bd0b6fcf5407d1d3830e60460e0c1d493e     0 CrossCode
             0 0000000000000000000000000000000000000000    64 assets
             0 0000000000000000000000000000000000000000    64 assets/data
             0 0000000000000000000000000000000000000000    64 assets/data/animations
             0 0000000000000000000000000000000000000000    64 assets/data/animations/boss
        110459 f5029da097b9f77ba13cd8192c3a87a01a2dc5ab     0 assets/data/animations/boss/antlion.json
        279620 f68a7393ef6c90f19994067bc4535ecf7ae50638     0 assets/data/animations/boss/cargo-crab-extra.json
        330050 72af12974b4f7263e3c8d1ada39e9c03489d24d7     0 assets/data/animations/boss/cargo-crab.json
        201848 fe6c7db2ef7a292cf5798d55bffd6b3c93880959     0 assets/data/animations/boss/driller.json
           284 291e8ac165b8471cdd2caad109fbd315392d54d3     0 assets/data/animations/boss/greenlight.json
        235823 ec55f704c0c6da2a97f3d0702f23e430fb8485ea     0 assets/data/animations/boss/megamoth.json
          2803 ff7fe7cfdb8b380a5fcc58735bab0addfad69bda     0 assets/data/animations/boss/slope-test.json
         16169 3717e7ebb95a9bbb4329f3ac40a121f296fceed2     0 assets/data/animations/boss/test-saved.json
          1494 bfab25994016e2d5d45a8a8e0792cda24b8df44e     0 assets/data/animations/boss/test.json
        176886 e65da8ba612aabef7139dd8f53548d6412eaa3fa     0 assets/data/animations/boss/whale.json
             0 0000000000000000000000000000000000000000    64 assets/data/animations/enemies
          1440 6cebc5ca8e056d9d342954759d6c41100bf606f8     0 assets/data/animations/enemies/algorithm.json
           369 3221ac03f9f2b565e72001cf69453ceda24d2b4b     0 assets/data/animations/enemies/baggy-kun.json
           302 84c1f8fb841e237462308b63c4b4decd43bb3f29     0 assets/data/animations/enemies/ball-probe.json
           333 8df194f75a2cbb975874126a7b8a7b307eb3dc2c     0 assets/data/animations/enemies/brewing-bubbler.json
           331 823388ac7205200d07eb3c2f41de5031b88f1bdb     0 assets/data/animations/enemies/brewing-machine.json
          1164 9ebc3c3e53349054a567c6ca9d9f35205f3c82a0     0 assets/data/animations/enemies/buffalo-alt.json
          1166 5161da19ff2c8f3eb4e1b52426510d80cd388e29     0 assets/data/animations/enemies/buffalo-fall.json
          1193 93a1a3639ef010a36fb898612661ca2934314dc1     0 assets/data/animations/enemies/buffalo-fire.json
          1156 56a30156b9c3b12968c1719e62b193dc3a884981     0 assets/data/animations/enemies/buffalo.json
          2253 c3d2160a439c15164378f8675caf4dfcfafa9bb0     0 assets/data/animations/enemies/bug-samurai-shock.json
          2287 d04e154b960620cdeda71f07b053d18b01b4b249     0 assets/data/animations/enemies/bug-samurai.json
          1373 5bc4f668149d930a27ee39b32a7190679a86460a     0 assets/data/animations/enemies/chillertoise.json
           693 0e58c257884add439a590c9bd179c85d4f979cdf     0 assets/data/animations/enemies/daft-frobbit.json
          1240 64981f3e3604839d54928615b6707a2dcb7ffe95     0 assets/data/animations/enemies/darth-moth.json
           626 064be171b025feb166fce6c0b9671cd35390b38a     0 assets/data/animations/enemies/default-bot.json
          1633 6ba3d0771dbe581927dda083f3ef97f0a33ad808     0 assets/data/animations/enemies/dice-mage.json
          1373 d2a88dd15d7ef9115da1479f46147fd6f0fcc546     0 assets/data/animations/enemies/drillertoise.json
           905 803353ced691fb66f71f434e6d042c8b0b9f9ba5     0 assets/data/animations/enemies/frobbit-miniboss-femme.json
           909 e331f233eb53ce8620a289ad9e1803ce3fbc95ff     0 assets/data/animations/enemies/frobbit-miniboss-gallant.json
           889 1d8491d4c25cbd3e5a8b51d6aed7e515a44b0f86     0 assets/data/animations/enemies/frobbit.json
          1401 b176572e4c6a73f97759f46112a9e3f4fd70c2b0     0 assets/data/animations/enemies/goat-cave.json
          1407 cd03c92100c733e698a87857b8dc70ea836bc4da     0 assets/data/animations/enemies/goat-father.json
          1386 5189030711c1b77f241b550113fd4f2b7948aed5     0 assets/data/animations/enemies/goat.json
           677 ec65f46862bfca274964a021b7766e161b8b172e     0 assets/data/animations/enemies/gray-frobbit.json
          1208 412182b1a2a8b6624bd7d83e512d55f598f34d60     0 assets/data/animations/enemies/guard-mustache.json
          1190 1a05e09f5f3277493c6e1bd9ae7b2bc176d06f34     0 assets/data/animations/enemies/guards.json
           649 30eae50046f56f27adee9e1b06e2d47c71859e52     0 assets/data/animations/enemies/heat-command_bot.json
          1309 05c687bdd69e388509d2a1f87de85c40c1326932     0 assets/data/animations/enemies/heat-friendly_kamikatze.json
          1963 60c76d7f643b5d216262534eaca403c4b5292c11     0 assets/data/animations/enemies/heat-golem.json
