Content Manifest for Depot 368344

Manifest ID            : 1479279151420967001
Creation time          : 2019-02-01 12:59:20+00:00
Total number of files  : 4462
Total bytes on disk    : 878417631
Total bytes compressed : 433453536

          Size Hash                                     Flags Name
-------------- ---------------------------------------- ----- -------------------------------------------------------------------------------------------------------------------------------------------------------
             0 0000000000000000000000000000000000000000    64 CrossCode.app
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents
          2834 2c94f599566cde203b0f525839941caccb3bd469     0 CrossCode.app/Contents/Info.plist
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/MacOS
          9276 8313d881fc7dc19f27fa454636fd7ffdf78bbace     0 CrossCode.app/Contents/MacOS/nwjs
             8 71576fb6123e216cdb0767413e44d4f0aaa0bd68     0 CrossCode.app/Contents/PkgInfo
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Resources
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Resources/am.lproj
           304 26992ce2f9a7632c054dd0d27acb5817ee76d565     0 CrossCode.app/Contents/Resources/am.lproj/InfoPlist.strings
        378456 2ee023aa8c580e0c00fcc2acaf248e061a9e670e     0 CrossCode.app/Contents/Resources/app.icns
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Resources/app.nw
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Resources/app.nw/assets
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Resources/app.nw/assets/data
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Resources/app.nw/assets/data/animations
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Resources/app.nw/assets/data/animations/boss
        110459 f5029da097b9f77ba13cd8192c3a87a01a2dc5ab     0 CrossCode.app/Contents/Resources/app.nw/assets/data/animations/boss/antlion.json
        279620 f68a7393ef6c90f19994067bc4535ecf7ae50638     0 CrossCode.app/Contents/Resources/app.nw/assets/data/animations/boss/cargo-crab-extra.json
        330050 72af12974b4f7263e3c8d1ada39e9c03489d24d7     0 CrossCode.app/Contents/Resources/app.nw/assets/data/animations/boss/cargo-crab.json
        201848 fe6c7db2ef7a292cf5798d55bffd6b3c93880959     0 CrossCode.app/Contents/Resources/app.nw/assets/data/animations/boss/driller.json
