Content Manifest for Depot 368344

Manifest ID            : 6158285121454131332
Creation time          : 2016-05-08 10:45:03+00:00
Total number of files  : 1963
Total bytes on disk    : 236797233
Total bytes compressed : 118839616

          Size Hash                                     Flags Name
-------------- ---------------------------------------- ----- -------------------------------------------------------------------------------------------------------------------
             0 0000000000000000000000000000000000000000    64 CrossCode.app
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks
         60524 95cc6f7a69033766c156728200760bc80023a9b8     0 CrossCode.app/Contents/Frameworks/crash_inspector
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Framework.framework
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Libraries
       1171312 55dd8327e0fb6e7de94c3b99149174bbf5fd4e76     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Libraries/ffmpegsumo.so
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources
         12480 8cdc9e68594fbb6db8c7b4bff643ab2432b51db6     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/AHEM____.TTF
          3020 56f26899fd24c8821a5776651c9f28902eda1c1c     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ChromiumAATTest.ttf
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/English.lproj
          3390 766f49f6ca2f3df2a40556a00d241071173734d6     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/English.lproj/HttpAuth.nib
           375 4aaf6fce75d1fb93b1d7a7c20a8c43d1da1515d2     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/am.pak
           357 d0e22906a2453a3b34a2e506a70f9cc38f229b56     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ar.pak
           556 e9a74c5e6274a21b195325c8c471ae0cb94a561c     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/bg.pak
           629 6911a87fb9ea506c7447df3d633c1b112e76ef91     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/bn.pak
           296 a1c0f6c6e2c68d0c3a163736e65f936637a994b3     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ca.pak
           290 1bb419e6d2abb62b14eb8c12f3c7dd7b73d66924     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/cs.pak
           257 42d136e19f70caa5e32aec8c59eee9dc1346bf45     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/da.pak
           323 4cca284586ba8023c3c4494d807a2b3754f15b49     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/de.pak
           546 95c8f9d8cbb79a9b21dd92908fc73001764feeee     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/el.pak
           242 8dd01e6a8d50832d2a6f5ae1c776004a7d505428     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/en-GB.pak
           242 a3e934e8b46036b52b3ee8e452ebe5c12e3d3294     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/en-US.pak
           283 fddd1cc676a7d202b87ce7943343fc18e16aa0d0     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/es-419.pak
           294 e05dd70bdc2950541aec268e71a81735a9dbcd27     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/es.pak
           286 36e75bb3c2d3481b49e58665960f2029aee906c1     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/et.pak
           385 ecfda7f609f473ebb77d4170b940f6078a63bb99     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/fa.pak
           297 4dfc2f18fec83a0a685010ab4d9b18e2a4521582     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/fi.pak
           261 4c251774a3101ce17cace5ec7b4547c729c33258     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/fil.pak
           314 5c222eefce4dfff69d56c2b5fe7fd04154067840     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/fr.pak
           546 70a4d78f0b835aa99530d1cd8321d584e00949ad     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/gu.pak
           592 7a7d9a990914451739df158d81a234f094a7553b     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/hi.pak
           313 2dbfa3f94f20ee9625ef36ee247b0d1a5970db86     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/hr.pak
           344 c543276c4f58a6b03079f44fb9b7167c27fef6db     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/hu.pak
      10457856 0249f28ca75b97fafef60a40a3a45620ab31eb52     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/icudtl.dat
           293 16a63cd4e844e45f5c35940c5983c4467ecc2075     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/id.pak
           306 249f04460bbda3007d1771fa25fbcda9f31ca5b3     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/it.pak
           319 a40f4a30879aaaa59243ddae308cff54b01bac14     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/iw.pak
           354 c6b272e62ffbcf948aa77c70073c5d6fd4afe271     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ja.pak
           634 d54a947d8e12eca9da7d1d9ab67e42a8b1d2b839     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/kn.pak
           313 03c43c5b118f6f1288ff8c3d3857e3a41ff61e6e     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ko.pak
           338 d374154b51098c36e42392c7232197715ab40d7f     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/lt.pak
           310 fb45b1c549bdb2c71aa85e7916a4a00f4673d5ea     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/lv.pak
           372 43b409c0688d3202c20e16e4d02988f335f3c6cf     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/missingImage.png
           844 aa6b90b19234115292be47ebe1ce07fe7c02b48d     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ml.pak
           531 c541aaadd03550bba3e42a122efb5ba9aa6ffa11     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/mr.pak
           298 5ec0d9d772aef55f511efeca429bd4b0d319b7f5     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ms.pak
           286 d1fcf648ec554cbb684ac7a7b62a5b791e0d2dcd     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/nl.pak
           258 45703208684790aedc0a1089a83d131f2a994fb7     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/no.pak
       7439078 539b21617c48c48610aa904e0c996f7fc8b820b4     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/nw.pak
           311 616acef5a03f9ee4e7f8ef03ad288fa32fc98265     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/pl.pak
           291 636f4df21e1ec7ab80b9946e69e73bedc23712f4     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/pt-BR.pak
           294 71c542575faeacd417bcbdf653386426f9afbe54     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/pt-PT.pak
           340 29a491d97dfc57351e27400cdd2f962124fb2119     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ro.pak
           451 199be0e67ef2f3e353cad09051e429a9b7859b94     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ru.pak
           341 7e67605938336600a00c0ea7775e0c80d5a8fbc1     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/sk.pak
           279 309a24db1b32878d9ddecc3a4ac7b2ac6dfac64b     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/sl.pak
           413 c643104511ad5abe9fb537b410625f2eb7842e3a     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/sr.pak
           272 670fd8ef9b0919a5e4a933c94837a43f7066260e     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/sv.pak
           261 bf8a3f7a3f146094abb606bb8e56745fd55de691     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/sw.pak
           649 816c841df359ab5814a123f4bc6a7d0ccc9eaf4f     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/ta.pak
           704 534bcc0635eaf0010247ac079a999f106825c767     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/te.pak
            92 b8062a14df9d52bb73a90780f989b5c9d4697780     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/textAreaResizeCorner.png
           523 7be3ead38098d6a91cd7446e8f562c1a2ce7c7ab     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/th.pak
           341 0b55f83aeeba2099664841b1ab3166ca7d4ca8ba     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/tr.pak
           459 d1ffa7500002eca24718411396cd71a656dc67ef     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/uk.pak
           337 2fb8b36cd160a6420f46f1c3543eeedb3045babe     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/vi.pak
           264 738bd678021b6743079a71609a5aa4b44d7b2db7     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/zh-CN.pak
           264 13402d76ba3d223e4a83a7ab4b3bf1f56dc8b758     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/Resources/zh-TW.pak
      64149680 50ac2a3cf4e6f4b11492f335ad4f98c0507dfc3a     0 CrossCode.app/Contents/Frameworks/nwjs Framework.framework/nwjs Framework
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper EH.app
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper EH.app/Contents
          1338 8a7ded2c3532fc7338027bfdb547453952d2dc27     0 CrossCode.app/Contents/Frameworks/nwjs Helper EH.app/Contents/Info.plist
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper EH.app/Contents/MacOS
          8536 15bf5aa134af9ef4ac8abf7ad42828bbef07c7a0     0 CrossCode.app/Contents/Frameworks/nwjs Helper EH.app/Contents/MacOS/nwjs Helper EH
             8 9f9eea0cfe2d65f2c3d6b092e375b40782d08f31     0 CrossCode.app/Contents/Frameworks/nwjs Helper EH.app/Contents/PkgInfo
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper NP.app
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper NP.app/Contents
          1338 75698b4f5cc88874ed0f22be45379e936d54224a     0 CrossCode.app/Contents/Frameworks/nwjs Helper NP.app/Contents/Info.plist
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper NP.app/Contents/MacOS
          8536 61653b613de314913a12d54228f662e7ef319408     0 CrossCode.app/Contents/Frameworks/nwjs Helper NP.app/Contents/MacOS/nwjs Helper NP
             8 9f9eea0cfe2d65f2c3d6b092e375b40782d08f31     0 CrossCode.app/Contents/Frameworks/nwjs Helper NP.app/Contents/PkgInfo
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper.app
             0 0000000000000000000000000000000000000000    64 CrossCode.app/Contents/Frameworks/nwjs Helper.app/Contents
          1326 d097fbfdc86588a6583ec17cfbc322976b0361c7     0 CrossCode.app/Contents/Frameworks/nwjs Helper.app/Contents/Info.plist
