Content Manifest for Depot 1517030

Manifest ID            : 767003544700373734
Creation time          : 2021-02-27 12:16:57+00:00
Total number of files  : 224
Total bytes on disk    : 37975676
Total bytes compressed : 3547984

          Size Hash                                     Flags Name
-------------- ---------------------------------------- ----- -----------------------------------------------------------------------------
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data/animations
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data/animations/enemies
          1845 661454c61cceefb003559b8943dcb9d498f43a7f     0 assets/extension/post-game/data/animations/enemies/beach-fish.json
           970 a90b671ecd4a931f687c81797a9c36cff048bfe0     0 assets/extension/post-game/data/animations/enemies/beach-star-cold.json
           968 ab583ec2f7cde18e2b3dc6f28d27ad282f9eda77     0 assets/extension/post-game/data/animations/enemies/beach-star-heat.json
           970 0f4e7477a6c2c5fb3abc74cf7c29ee3269505590     0 assets/extension/post-game/data/animations/enemies/beach-star-shock.json
           972 050853d8720a5b41cd05535c18b936be3591bc0e     0 assets/extension/post-game/data/animations/enemies/beach-star-wave.json
          3271 c37c85160c58ddf4557569d0c20c8bc95ce8128f     0 assets/extension/post-game/data/animations/enemies/beach-turtle.json
          2151 e87e1cdc465612a330aa42ef1513bc2cb93e789e     0 assets/extension/post-game/data/animations/enemies/beach-worm.json
          1216 f08df4d63acd35942b2d86ca58f5f50e0918fb20     0 assets/extension/post-game/data/animations/enemies/honeybear.json
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data/arena
         13027 373a53b8043c38d13d01b106d730743a7aa0ea70     0 assets/extension/post-game/data/arena/ancient-boss-cup.json
         24595 e05936851721e6feddf9cd2594cca15d8241f790     0 assets/extension/post-game/data/arena/ancient-cup.json
         25075 207570e5a81b008883b1269eb284acbb06e9600b     0 assets/extension/post-game/data/arena/ancient-team-cup.json
          2603 b1399f5be38d2076671a68b440295f4bf7a1ce7b     0 assets/extension/post-game/data/arena/apollo-cup.json
          3379 d13466c8949cd9c35051058b35e2d204354cd4c5     0 assets/extension/post-game/data/arena/kit-cup.json
          2603 d311ba6f7bc1da64a1d37a865330e945995f5604     0 assets/extension/post-game/data/arena/lily-cup.json
          2625 b5308c7370d3325ea8cf92c9650d391a52a0e293     0 assets/extension/post-game/data/arena/shizuka-cup.json
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data/enemies
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data/enemies/beach
         17942 a6010df5646f582927caa47b1bb776b66a48bf32     0 assets/extension/post-game/data/enemies/beach/fish.json
         26997 da228f511422f91fa21f642be56676c2facf7c6b     0 assets/extension/post-game/data/enemies/beach/sea-star-cold.json
         26948 abd0c32744f91981f2832c0b8452a9b2a7837cc0     0 assets/extension/post-game/data/enemies/beach/sea-star-heat.json
         26243 77ceed459dee6401e104da93618b99c6d1c38e14     0 assets/extension/post-game/data/enemies/beach/sea-star-shock.json
         26950 a26c667afa4212e5b646a07f4da15658d58165e2     0 assets/extension/post-game/data/enemies/beach/sea-star-wave.json
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data/enemies/beach/special
         30247 59f4df78699e7f9ec9eb7a0ad420c1c4ebe7ba88     0 assets/extension/post-game/data/enemies/beach/special/blob-salt.json
         26400 8189ec6e28217c606869b0fa278819458b02987e     0 assets/extension/post-game/data/enemies/beach/turtle-man.json
         36286 8c4508d016c40ac7ee2612f6bf768175d18e2474     0 assets/extension/post-game/data/enemies/beach/worm.json
             0 0000000000000000000000000000000000000000    64 assets/extension/post-game/data/enemies/boss
         32845 1ccde04317ae62a69c99eb5e6f705c525f179a5b     0 assets/extension/post-game/data/enemies/boss/shady-clone.json
        105336 a71ffc80efc2764a58c7dea577eebd7ee5dd07a4     0 assets/extension/post-game/data/enemies/boss/shady.json
